,unique_id,ds,y,y_pred
0,SKU_02,2023-09-21,338.0,408.70477
1,SKU_02,2023-09-22,302.0,409.6251
2,SKU_02,2023-09-23,71.0,68.17786
3,SKU_02,2023-09-24,49.0,47.944073
4,SKU_02,2023-09-25,422.0,429.1121
5,SKU_02,2023-09-26,472.0,452.8344
6,SKU_02,2023-09-27,459.0,393.3245
7,SKU_02,2023-09-28,350.0,414.7214
8,SKU_02,2023-09-29,371.0,354.51758
9,SKU_02,2023-09-30,60.0,55.180527
10,SKU_02,2023-10-01,35.0,62.494682
11,SKU_02,2023-10-02,396.0,579.1367
12,SKU_02,2023-10-03,546.0,583.64923
13,SKU_02,2023-10-04,516.0,561.8713
14,SKU_02,2023-10-05,673.0,561.1531
15,SKU_02,2023-10-06,335.0,485.38086
16,SKU_02,2023-10-07,90.0,84.578514
17,SKU_02,2023-10-08,66.0,66.69981
18,SKU_02,2023-10-09,564.0,555.1592
19,SKU_02,2023-10-10,524.0,537.4662
20,SKU_02,2023-10-11,431.0,504.4779
21,SKU_02,2023-10-12,39.0,313.78027
22,SKU_02,2023-10-13,336.0,434.9381
23,SKU_02,2023-10-14,75.0,83.66015
24,SKU_02,2023-10-15,94.0,76.4562
25,SKU_02,2023-10-16,553.0,477.44208
26,SKU_02,2023-10-17,526.0,472.67606
27,SKU_02,2023-10-18,579.0,446.31293
28,SKU_02,2023-10-19,528.0,460.5411
29,SKU_02,2023-10-20,468.0,417.91998
30,SKU_02,2023-10-21,91.0,74.867455
31,SKU_02,2023-10-22,121.0,67.8163
32,SKU_02,2023-10-23,585.0,495.1258
33,SKU_02,2023-10-24,627.0,460.63885
34,SKU_02,2023-10-25,544.0,435.63162
35,SKU_02,2023-10-26,438.0,438.18826
36,SKU_02,2023-10-27,452.0,415.317
37,SKU_02,2023-10-28,95.0,75.48321
38,SKU_02,2023-10-29,69.0,40.331425
39,SKU_02,2023-10-30,476.0,500.8531
40,SKU_02,2023-10-31,772.0,494.03824
41,SKU_02,2023-11-01,659.0,530.09705
42,SKU_02,2023-11-02,171.0,366.3219
43,SKU_02,2023-11-03,651.0,476.70856
44,SKU_02,2023-11-04,151.0,93.987305
45,SKU_02,2023-11-05,153.0,94.25537
46,SKU_02,2023-11-06,689.0,564.0566
47,SKU_02,2023-11-07,858.0,539.44073
48,SKU_02,2023-11-08,762.0,502.5197
49,SKU_02,2023-11-09,712.0,509.50424
50,SKU_02,2023-11-10,576.0,432.85468
51,SKU_02,2023-11-11,102.0,97.60791
52,SKU_02,2023-11-12,129.0,85.9375
53,SKU_02,2023-11-13,731.0,545.02576
